C	Chapter 5
V	60005001
c	a
i	c60005001.1
m	Luke 10:18;
V	60005002
c	c
i	c60005002.2
m	Joel 2:2,
V	60005003
c	d
i	c60005003.3
m	Ex. 10:4; Judg.
V	60005004
c	e
i	c60005004.4
m	Rev. 6:6 f Rev.
V	60005005
c	h
i	c60005005.5
m	[Rev. 9:10;
V	60005006
c	i
i	c60005006.6
m	Job 3:21; 7:15;
V	60005007
c	j
i	c60005007.7
m	Joel 2:4 k Nah.
V	60005008
c	m
i	c60005008.8
m	Joel 1:6
V	60005009
c	n
i	c60005009.9
m	Jer. 47:3; Joel
V	60005012
c	p
i	c60005012.10
m	Rev. 8:13;
V	60005013
c	q
i	c60005013.11
m	Rev. 8:3
V	60005014
c	r
i	c60005014.12
m	Gen. 15:18;
V	60005015
c	s
i	c60005015.13
m	Rev. 8:7-9;
V	60005016
c	t
i	c60005016.14
m	Ps. 68:17; Dan.
V	60005017
c	w
i	c60005017.15
m	1 Chr. 12:8; Is.
V	60005019
c	x
i	c60005019.16
m	Is. 9:15 5 NU,
V	60005020
c	y
i	c60005020.17
m	Deut. 31:29
V	60005021
c	b
i	c60005021.18
m	Rev. 21:8;
