C	Chapter 5
V	41005001
c	a
i	c41005001.1
m	Titus 1:2 1 NU,
V	41005002
c	b
i	c41005002.2
m	1 Tim. 1:2; 2 Tim. 2:1; Titus
V	41005003
c	c
i	c41005003.3
m	Acts 24:14
V	41005005
c	d
i	c41005005.4
m	1 Tim.
V	41005005
c	e
i	c41005005.5
m	Acts 16:1
V	41005006
c	f
i	c41005006.6
m	1 Tim. 4:14
V	41005008
c	i
i	c41005008.7
m	[Mark 8:38; Luke 9:26; Rom. 1:16]; 2 Tim. 1:12,
V	41005009
c	l
i	c41005009.8
m	[Rom. 3:20]; Eph. 2:8, 9 m Rom. 8:28 n Rom. 16:25; Eph. 1:4; Titus 1:2
V	41005010
c	o
i	c41005010.9
m	Eph. 1:9
V	41005011
c	p
i	c41005011.10
m	Acts 9:15
V	41005012
c	q
i	c41005012.11
m	1 Pet. 4:19 ereign plan (see Rom. 8:28–30; Eph. 1:11). Grace is Gods un- 19:15; 1 Cor. 3:10–15; Rev. 11:15, 18). God will protect us in life to illustrate Pauls point (see Acts 19:21—20:6).
V	41005013
c	r
i	c41005013.12
m	2 Tim. 3:14; Titus 1:9 s Rom. 2:20; 6:17 t 1 Tim.
V	41005016
c	j
i	c41005016.13
m	1 Tim. 2:6
V	41005016
c	k
i	c41005016.14
m	Eph. 3:1; 2 Tim.
V	41005016
c	u
i	c41005016.15
m	2 Tim. 4:19
V	41005018
c	v
i	c41005018.16
m	Matt. 6:4; Mark 9:41 w 2 Thess. 1:10
V	41005018
c	x
i	c41005018.17
m	Heb. 6:10 4 to me
