C	Chapter 3
V	52003001
c	a
i	c52003001.1
m	Titus 1:2 1 NU,
V	52003002
c	b
i	c52003002.2
m	1 Tim. 1:2;
V	52003003
c	c
i	c52003003.3
m	Acts 24:14
V	52003005
c	d
i	c52003005.4
m	1 Tim.
V	52003006
c	f
i	c52003006.5
m	1 Tim. 4:14
V	52003007
c	g
i	c52003007.6
m	John 14:27;
V	52003008
c	i
i	c52003008.7
m	[Mark 8:38;
V	52003009
c	l
i	c52003009.8
m	[Rom. 3:20];
V	52003010
c	o
i	c52003010.9
m	Eph. 1:9
V	52003011
c	p
i	c52003011.10
m	Acts 9:15
V	52003012
c	q
i	c52003012.11
m	1 Pet. 4:19
V	52003013
c	r
i	c52003013.12
m	2 Tim. 3:14;
V	52003016
c	j
i	c52003016.13
m	1 Tim. 2:6
V	52003016
c	u
i	c52003016.14
m	2 Tim. 4:19
V	52003018
c	v
i	c52003018.15
m	Matt. 6:4;
