C	Chapter 14
V	23014001
c	a
i	c23014001.1
m	Ex. 20:9
V	23014002
c	b
i	c23014002.2
m	Ezek. 44:3
V	23014004
c	c
i	c23014004.3
m	Ezek. 45:17
V	23014004
c	d
i	c23014004.4
m	Num. 28:9,
V	23014008
c	f
i	c23014008.5
m	Ezek. 44:3; 46:2
V	23014009
c	g
i	c23014009.6
m	Ex. 23:14-17; 34:23; Deut. 16:16, 17; Ps. 84:7; Mic. 6:6 h Ezek.
V	23014011
c	i
i	c23014011.7
m	Ezek. 46:5,
V	23014012
c	j
i	c23014012.8
m	Ezek. 44:3;
V	23014013
c	k
i	c23014013.9
m	Ex. 29:38;
V	23014015
c	l
i	c23014015.10
m	Ex. 29:42; Num. 28:6
V	23014017
c	m
i	c23014017.11
m	Lev. 25:10
V	23014018
c	n
i	c23014018.12
m	Ezek. 45:8
V	23014019
c	o
i	c23014019.13
m	Ezek. 42:13
V	23014020
c	p
i	c23014020.14
m	2 Chr. 35:13
V	23014020
c	q
i	c23014020.15
m	Lev. 2:4, 5,
V	23014020
c	r
i	c23014020.16
m	Ezek. 44:19
