C	Chapter 19
V	03019002
c	a
i	c03019002.1
m	Ex. 19:6; Lev. [Eph. 1:4]; 1 Pet.
V	03019003
c	b
i	c03019003.2
m	Ex. 20:12; Deut. 5:16; Matt. 15:4; Eph. 6:2 c Ex.
V	03019004
c	d
i	c03019004.3
m	Ex. 20:4; Ps. 1 Cor. 10:14; [Col. 3:5] e Ex. 34:17
V	03019005
c	f
i	c03019005.4
m	Lev. 7:16
V	03019009
c	g
i	c03019009.5
m	Lev. 23:22; Deut. 24:19-22
V	03019011
c	h
i	c03019011.6
m	Ex. 20:15,
V	03019011
c	i
i	c03019011.7
m	Jer. 9:3-5; Eph.
V	03019012
c	j
i	c03019012.8
m	Ex. 20:7; Deut. 5:11; [Matt. 5:33- 37; James 5:12]
V	03019012
c	k
i	c03019012.9
m	Lev. 18:21
V	03019013
c	l
i	c03019013.10
m	Ex. 22:7-15, 21-27; Mark 10:19
V	03019013
c	m
i	c03019013.11
m	Deut. 24:15; Mal. 3:5; James 5:4
V	03019014
c	n
i	c03019014.12
m	Deut. 27:18
V	03019015
c	o
i	c03019015.13
m	Deut. 16:19
V	03019015
c	p
i	c03019015.14
m	Ex. 23:3, 6; Deut. 1:17; 10:17; Ps.
V	03019016
c	q
i	c03019016.15
m	Prov. 11:13; 18:8; 20:19 r Ex. 23:7; Deut. 27:25; 1 Kin. 21:7-19
V	03019017
c	s
i	c03019017.16
m	[1 John 2:9, 11; 3:15] t Matt. 18:15; [Luke 17:3]; Eph. 5:11
V	03019018
c	u
i	c03019018.17
m	[Deut. 32:35;
V	03019020
c	w
i	c03019020.18
m	Deut. 22:23-
V	03019028
c	x
i	c03019028.19
m	1 Kin. 18:28; Jer. 16:6
V	03019029
c	y
i	c03019029.20
m	Lev. 21:9; Deut. 22:21;
V	03019030
c	z
i	c03019030.21
m	Lev. 26:2; Eccl.
V	03019031
c	a
i	c03019031.22
m	Lev. 20:6, 27; Deut. 18:11;
V	03019032
c	b
i	c03019032.23
m	Prov. 23:22; Lam. 5:12; 1 Tim. 5:1 c Lev. 19:14
V	03019033
c	d
i	c03019033.24
m	Ex. 22:21; Deut. 24:17,
V	03019034
c	e
i	c03019034.25
m	Ex. 12:48
V	03019034
c	f
i	c03019034.26
m	Deut. 10:19
V	03019037
c	h
i	c03019037.27
m	Lev. 18:4, 5; Deut. 4:5, 6; 5:1;
