C	Chapter 5
V	58005001
c	a
i	c58005001.1
m	Gen. 3:16;
V	58005002
c	d
i	c58005002.2
m	1 Pet. 2:12; 3:6
V	58005003
c	e
i	c58005003.3
m	Is. 3:18; 1 Tim.
V	58005004
c	f
i	c58005004.4
m	Rom. 2:29
V	58005006
c	g
i	c58005006.5
m	Gen. 18:12
V	58005007
c	h
i	c58005007.6
m	1 Cor. 7:3;
V	58005009
c	k
i	c58005009.7
m	[Prov. 17:13]
V	58005010
c	n
i	c58005010.8
m	Ps. 34:12-16
V	58005011
c	p
i	c58005011.9
m	Ps. 37:27
V	58005012
c	r
i	c58005012.10
m	John 9:31
V	58005013
c	s
i	c58005013.11
m	Prov. 16:7
V	58005014
c	t
i	c58005014.12
m	James 1:12
V	58005015
c	v
i	c58005015.13
m	Ps. 119:46
V	58005016
c	x
i	c58005016.14
m	1 Tim. 1:5;
V	58005021
c	y
i	c58005021.15
m	Acts 16:33;
V	58005022
c	b
i	c58005022.16
m	Ps. 110:1
