C	Chapter 12
V	45012001
c	a
i	c45012001.1
m	Rom. 1:1
V	45012002
c	d
i	c45012002.2
m	[Acts 15:9]
V	45012003
c	h
i	c45012003.3
m	Rom. 1:7
V	45012004
c	i
i	c45012004.4
m	Rom. 1:8
V	45012005
c	j
i	c45012005.5
m	[1 Cor. 12:8]
V	45012006
c	k
i	c45012006.6
m	2 Thess. 1:10; 1 Tim. 2:6; 2 Tim. 1:8; Rev. 1:2
V	45012007
c	l
i	c45012007.7
m	Luke 17:30; Rom. 8:19, 23; Phil. 3:20; Titus 2:13; [2 Pet.
V	45012008
c	m
i	c45012008.8
m	1 Thess. 3:13;
V	45012009
c	o
i	c45012009.9
m	Deut. 7:9;
V	45012010
c	q
i	c45012010.10
m	2 Cor. 13:11;
V	45012012
c	r
i	c45012012.11
m	Matt. 3:8-10;
V	45012013
c	u
i	c45012013.12
m	2 Cor. 11:4
V	45012014
c	v
i	c45012014.13
m	John 4:2
V	45012016
c	y
i	c45012016.14
m	1 Cor. 16:15,
V	45012017
c	z
i	c45012017.15
m	[1 Cor. 2:1,
V	45012018
c	a
i	c45012018.16
m	1 Cor. 2:14
V	45012019
c	e
i	c45012019.17
m	Is. 29:14
V	45012020
c	f
i	c45012020.18
m	Is. 19:12; 33:18
V	45012020
c	g
i	c45012020.19
m	Job 12:17;
V	45012021
c	h
i	c45012021.20
m	Dan. 2:20;
V	45012022
c	i
i	c45012022.21
m	Matt. 12:38;
V	45012023
c	j
i	c45012023.22
m	Is. 8:14; Luke
V	45012024
c	l
i	c45012024.23
m	[Rom. 1:4]
V	45012026
c	n
i	c45012026.24
m	John 7:48
V	45012027
c	o
i	c45012027.25
m	Ps. 8:2; Matt.
V	45012030
c	p
i	c45012030.26
m	Jer. 23:5;
V	45012031
c	q
i	c45012031.27
m	Jer. 9:23, 24;
