C	Chapter 2
V	39002001
c	a
i	c39002001.1
m	2 Cor. 12:14
V	39002001
c	b
i	c39002001.2
m	Num. 35:30; Deut. 17:6; 19:15; Matt. 18:16; John 8:17; Heb. 10:28
V	39002002
c	c
i	c39002002.3
m	2 Cor. 10:2 d 2 Cor. 12:21 e 2 Cor. 1:23; 10:11
V	39002003
c	f
i	c39002003.4
m	Matt. 10:20; [1 Cor. 5:4; 7:40] g [1 Cor. 9:2]
V	39002005
c	k
i	c39002005.5
m	Rom. 8:10; [Gal. 4:19] l 1 Cor.
V	39002007
c	m
i	c39002007.6
m	2 Cor. 6:9
V	39002009
c	n
i	c39002009.7
m	1 Cor. 4:10 o 1 Cor. 1:10; 2 Cor. 13:11; Eph. 4:12; [1 Thess. 3:10]
V	39002010
c	p
i	c39002010.8
m	1 Cor. 4:21 q 1 Cor. 5:4; 2 Cor.
V	39002011
c	r
i	c39002011.9
m	Rom. 12:16,
V	39002018
c	s
i	c39002018.10
m	Rom. 15:33; Eph. 6:23
