C	Chapter 9
V	47009001
c	a
i	c47009001.1
m	Eph. 4:2
V	47009002
c	b
i	c47009002.2
m	Acts 20:35;
V	47009003
c	d
i	c47009003.3
m	Rom. 12:3
V	47009004
c	f
i	c47009004.4
m	1 Cor. 11:28
V	47009005
c	h
i	c47009005.5
m	[Rom. 2:6]
V	47009006
c	i
i	c47009006.6
m	1 Cor. 9:11,
V	47009007
c	j
i	c47009007.7
m	[Rom. 2:6]
V	47009008
c	k
i	c47009008.8
m	[Rom. 6:8] 9 l 1 Cor. 15:58; 2 Cor. 4:1; 2 Thess. 3:13
V	47009012
c	q
i	c47009012.9
m	Gal. 5:11;
V	47009014
c	r
i	c47009014.10
m	[1 Cor. 1:18]
V	47009015
c	t
i	c47009015.11
m	[Rom. 2:26,
