book,chapter,verse,letter,added
1 CHRONICLES,1,34,n,NO
1 CHRONICLES,2,1,v,NO
1 CHRONICLES,2,2,y,NO
1 CHRONICLES,2,2,z,NO
1 CHRONICLES,2,10,j,NO
1 CHRONICLES,2,19,t,NO
1 CHRONICLES,3,5,t,NO
1 CHRONICLES,3,5,u,NO
1 CHRONICLES,3,10,a,NO
1 CHRONICLES,3,10,b,NO
1 CHRONICLES,3,11,e,NO
1 CHRONICLES,3,12,h,NO
1 CHRONICLES,3,13,k,NO
1 CHRONICLES,3,15,p,NO
1 CHRONICLES,3,16,s,NO
1 CHRONICLES,4,1,a,NO
1 CHRONICLES,4,4,f,NO
1 CHRONICLES,4,29,s,NO
1 CHRONICLES,5,1,e,NO
1 CHRONICLES,5,8,m,NO
1 CHRONICLES,5,8,n,NO
1 CHRONICLES,5,26,g,NO
1 CHRONICLES,6,4,n,NO
1 CHRONICLES,6,49,n,NO
1 CHRONICLES,7,13,q,NO
1 CHRONICLES,9,2,v,NO
1 CHRONICLES,9,31,q,NO
1 CHRONICLES,12,2,a,NO
1 CHRONICLES,12,18,k,NO
1 CHRONICLES,12,23,q,NO
1 CHRONICLES,13,5,h,NO
1 CHRONICLES,13,6,l,NO
1 CHRONICLES,15,17,s,NO
1 CHRONICLES,16,8,h,NO
1 CHRONICLES,16,41,p,NO
1 CHRONICLES,16,41,q,NO
1 CHRONICLES,18,16,o,NO
1 CHRONICLES,22,19,p,NO
1 CHRONICLES,23,3,u,NO
1 CHRONICLES,23,13,f,NO
1 CHRONICLES,23,13,g,NO
1 CHRONICLES,23,13,h,NO
1 CHRONICLES,23,24,v,NO
1 CHRONICLES,23,29,a,NO
1 CHRONICLES,23,29,b,NO
1 CHRONICLES,23,29,c,NO
1 CHRONICLES,23,31,f,NO
1 CHRONICLES,25,1,a,NO
1 CHRONICLES,25,1,b,NO
1 CHRONICLES,25,1,c,NO
1 CHRONICLES,26,25,v,NO
1 CHRONICLES,27,34,h,NO
1 CHRONICLES,28,1,k,NO
1 CHRONICLES,28,1,l,NO
1 CHRONICLES,28,1,m,NO
1 CHRONICLES,28,4,s,NO
1 CHRONICLES,28,4,t,NO
1 CHRONICLES,28,9,a,NO
1 CHRONICLES,28,11,e,NO
1 CHRONICLES,29,19,j,NO
1 CHRONICLES,29,22,p,NO
1 CHRONICLES,29,29,z,NO
1 CORINTHIANS,1,2,e,NO
1 CORINTHIANS,1,8,m,NO
1 CORINTHIANS,1,12,u,NO
1 CORINTHIANS,1,18,e,NO
1 CORINTHIANS,1,30,u,NO
1 CORINTHIANS,1,30,v,NO
1 CORINTHIANS,2,6,g,NO
1 CORINTHIANS,2,8,k,NO
1 CORINTHIANS,2,9,n,NO
1 CORINTHIANS,3,1,c,NO
1 CORINTHIANS,3,10,t,NO
1 CORINTHIANS,3,11,w,NO
1 CORINTHIANS,3,13,z,NO
1 CORINTHIANS,4,5,s,NO
1 CORINTHIANS,4,5,t,NO
1 CORINTHIANS,4,10,a,NO
1 CORINTHIANS,4,12,g,NO
1 CORINTHIANS,4,17,q,NO
1 CORINTHIANS,5,5,e,NO
1 CORINTHIANS,5,10,m,NO
1 CORINTHIANS,6,11,a,NO
1 CORINTHIANS,6,11,b,NO
1 CORINTHIANS,6,13,f,NO
1 CORINTHIANS,6,13,g,NO
1 CORINTHIANS,6,14,j,NO
1 CORINTHIANS,7,7,a,NO
1 CORINTHIANS,7,7,b,NO
1 CORINTHIANS,7,17,n,NO
1 CORINTHIANS,7,25,z,NO
1 CORINTHIANS,8,1,o,NO
1 CORINTHIANS,8,1,p,NO
1 CORINTHIANS,8,6,y,NO
1 CORINTHIANS,8,6,z,NO
1 CORINTHIANS,9,1,l,NO
1 CORINTHIANS,9,1,m,NO
1 CORINTHIANS,9,5,r,NO
1 CORINTHIANS,9,19,j,NO
1 CORINTHIANS,9,21,n,NO
1 CORINTHIANS,9,22,q,NO
1 CORINTHIANS,9,27,a,NO
1 CORINTHIANS,10,7,k,NO
1 CORINTHIANS,10,8,n,NO
1 CORINTHIANS,10,10,s,NO
1 CORINTHIANS,10,21,j,NO
1 CORINTHIANS,11,2,c,NO
1 CORINTHIANS,11,3,f,NO
1 CORINTHIANS,11,5,i,NO
1 CORINTHIANS,11,27,c,NO
1 CORINTHIANS,11,34,k,NO
1 CORINTHIANS,11,34,l,NO
1 CORINTHIANS,12,3,s,NO
1 CORINTHIANS,12,10,d,NO
1 CORINTHIANS,12,10,e,NO
1 CORINTHIANS,12,10,f,NO
1 CORINTHIANS,12,13,m,NO
1 CORINTHIANS,12,28,u,NO
1 CORINTHIANS,12,28,v,NO
1 CORINTHIANS,12,28,w,NO
1 CORINTHIANS,12,28,x,NO
1 CORINTHIANS,12,28,y,NO
1 CORINTHIANS,13,4,g,NO
1 CORINTHIANS,13,4,h,NO
1 CORINTHIANS,13,12,r,NO
1 CORINTHIANS,14,1,u,NO
1 CORINTHIANS,14,1,v,NO
1 CORINTHIANS,14,20,j,NO
1 CORINTHIANS,14,25,p,NO
1 CORINTHIANS,14,26,s,NO
1 CORINTHIANS,14,26,t,NO
1 CORINTHIANS,14,26,u,NO
1 CORINTHIANS,14,34,b,NO
1 CORINTHIANS,15,2,k,NO
1 CORINTHIANS,15,3,n,NO
1 CORINTHIANS,15,34,c,NO
1 CORINTHIANS,15,45,j,NO
1 CORINTHIANS,15,47,m,NO
1 CORINTHIANS,15,58,d,NO
1 CORINTHIANS,16,2,h,NO
1 CORINTHIANS,16,5,l,NO
1 CORINTHIANS,16,10,u,NO
1 CORINTHIANS,16,11,x,NO
1 CORINTHIANS,16,13,b,NO
1 CORINTHIANS,16,13,c,NO
1 CORINTHIANS,16,15,g,NO
1 JOHN,1,1,c,NO
1 JOHN,1,1,d,NO
1 JOHN,1,1,f,NO
1 JOHN,1,2,a,NO
1 JOHN,1,7,r,NO
1 JOHN,1,9,r,NO
1 JOHN,2,5,f,NO
1 JOHN,2,7,k,NO
1 JOHN,2,8,n,NO
1 JOHN,2,13,u,NO
1 JOHN,2,18,c,NO
1 JOHN,2,18,d,NO
1 JOHN,2,19,g,NO
1 JOHN,2,20,j,NO
1 JOHN,2,27,s,NO
1 JOHN,2,28,v,NO
1 JOHN,3,1,a,NO
1 JOHN,3,1,b,NO
1 JOHN,3,2,d,NO
1 JOHN,3,2,e,NO
1 JOHN,3,2,f,NO
1 JOHN,3,2,g,NO
1 JOHN,3,5,m,NO
1 JOHN,3,17,h,NO
1 JOHN,3,23,q,NO
1 JOHN,4,1,v,NO
1 JOHN,4,1,w,NO
1 JOHN,4,1,x,NO
1 JOHN,4,6,i,NO
1 JOHN,4,10,p,NO
1 JOHN,4,14,v,NO
1 JOHN,4,16,z,NO
1 JOHN,4,17,c,NO
1 JOHN,4,20,h,NO
1 JOHN,5,1,m,NO
1 JOHN,5,3,q,NO
1 JOHN,5,6,w,NO
1 JOHN,5,10,b,NO
1 JOHN,5,16,l,NO
1 JOHN,5,18,p,NO
1 JOHN,5,20,t,NO
1 KINGS,1,8,h,NO
1 KINGS,1,8,i,NO
1 KINGS,1,8,j,NO
1 KINGS,1,19,l,NO
1 KINGS,1,34,y,NO
1 KINGS,1,39,x,NO
1 KINGS,1,39,y,NO
1 KINGS,2,4,t,NO
1 KINGS,2,4,u,NO
1 KINGS,2,5,x,NO
1 KINGS,2,7,b,NO
1 KINGS,2,8,e,NO
1 KINGS,2,22,r,NO
1 KINGS,2,26,y,NO
1 KINGS,2,28,d,NO
1 KINGS,2,32,i,NO
1 KINGS,2,32,j,NO
1 KINGS,2,35,m,NO
1 KINGS,3,1,x,NO
1 KINGS,3,1,y,NO
1 KINGS,3,1,z,NO
1 KINGS,3,5,g,NO
