C	Chapter 4
V	32004002
c	a
i	c32004002.1
m	1 Cor. 7:39
V	32004003
c	b
i	c32004003.2
m	[Matt. 5:32]
V	32004004
c	c
i	c32004004.3
m	Rom. 8:2; Gal. 2:19; 5:18; [Col. 2:14] d Gal. 5:22
V	32004005
c	e
i	c32004005.4
m	Rom. 6:13
V	32004005
c	f
i	c32004005.5
m	Rom. 6:21; Gal. 5:19; James 1:15
V	32004006
c	g
i	c32004006.6
m	Rom. 2:29; 2 Cor. 3:6
V	32004007
c	h
i	c32004007.7
m	Rom. 3:20 i Ex. 20:17; Deut. 5:21; Acts 20:33
V	32004010
c	l
i	c32004010.8
m	Lev. 18:5; Ezek. 20:11, 13, 21; Luke 10:28; Rom. 10:5; 2 Cor. 3:7; Gal. 3:12
V	32004012
c	m
i	c32004012.9
m	Ps. 19:8
V	32004014
c	n
i	c32004014.10
m	1 Kin. 21:20, 25; 2 Kin. 17:17; Rom. 6:16
V	32004015
c	o
i	c32004015.11
m	Rom. 7:19; [Gal. 5:17]
V	32004018
c	p
i	c32004018.12
m	[Gen. 6:5;
V	32004022
c	q
i	c32004022.13
m	Ps. 1:2 r [2 Cor. 4:16; Eph. 3:16; 1 Pet. 3:4]
V	32004023
c	s
i	c32004023.14
m	Rom. 6:19; [Gal. 5:17]; James 4:1; 1 Pet. 2:11
V	32004023
c	t
i	c32004023.15
m	Rom. 6:13,
V	32004024
c	u
i	c32004024.16
m	[Rom. 8:11; 1 Cor. 15:51, 52; 1 Thess. 4:14-17]
V	32004025
c	v
i	c32004025.17
m	1 Cor. 15:57
