C	Chapter 5
V	40005003
c	a
i	c40005003.1
m	2 Cor. 1:3
V	40005004
c	b
i	c40005004.2
m	Rom. 8:28 c 1 Pet. 1:2 d Luke
V	40005005
c	e
i	c40005005.3
m	Acts 13:48; [Rom. 8:29]
V	40005005
c	f
i	c40005005.4
m	John 1:12 g [1 Cor. 1:21]
V	40005006
c	h
i	c40005006.5
m	[Rom. 3:24]
V	40005007
c	j
i	c40005007.6
m	[Heb. 9:12] k [Rom. 3:24, 25]
V	40005009
c	l
i	c40005009.7
m	[Rom. 16:25] m [2 Tim. 1:9]
V	40005010
c	n
i	c40005010.8
m	Gal. 4:4 o 1 Cor. 3:22 p Eph. 3:15; [Phil. 2:9; Col. 1:16, 20] 3 NU,
V	40005011
c	q
i	c40005011.9
m	Rom. 8:17 r Is.
V	40005012
c	s
i	c40005012.10
m	2 Thess. 2:13
V	40005012
c	t
i	c40005012.11
m	James 1:18
V	40005013
c	u
i	c40005013.12
m	John 1:17 v [2 Cor. 1:22]
V	40005014
c	w
i	c40005014.13
m	2 Cor. 5:5
V	40005014
c	x
i	c40005014.14
m	Rom. 8:23 y [Acts 20:28] z 1 Pet.
V	40005015
c	a
i	c40005015.15
m	Col. 1:4; Philem.
V	40005016
c	b
i	c40005016.16
m	Rom. 1:9
V	40005017
c	c
i	c40005017.17
m	John 20:17; Rom. 15:6 d Is. 11:2; Col. 1:9
V	40005018
c	e
i	c40005018.18
m	Acts 26:18; 2 Cor. 4:6; Heb. 6:4
V	40005019
c	g
i	c40005019.19
m	Col. 2:12
V	40005020
c	h
i	c40005020.20
m	Acts 2:24 i Ps.
V	40005021
c	j
i	c40005021.21
m	Is. 9:6, 7; Luke 1:32, 33; Phil. 2:9, 10; Rev. 19:12 k [Rom. 8:38, 39]
V	40005022
c	l
i	c40005022.22
m	Ps. 8:6; 110:1; Matt. 28:18 $; 1 Cor. 15:27
V	40005022
c	m
i	c40005022.23
m	Heb. 2:7
V	40005023
c	n
i	c40005023.24
m	Rom. 12:5
V	40005023
c	o
i	c40005023.25
m	Col. 2:9 p [1 Cor.
