C	Chapter 1
V	50001001
c	a
i	c50001001.1
m	Matt. 24:3
V	50001002
c	b
i	c50001002.2
m	Luke 21:34;
V	50001003
c	c
i	c50001003.3
m	Is. 13:6-9 d Hos.
V	50001004
c	e
i	c50001004.4
m	[Acts 26:18];
V	50001005
c	f
i	c50001005.5
m	Eph. 5:8
V	50001006
c	g
i	c50001006.6
m	Matt. 25:5
V	50001007
c	i
i	c50001007.7
m	[Luke 21:34]
V	50001008
c	k
i	c50001008.8
m	Is. 59:17; Eph.
V	50001009
c	l
i	c50001009.9
m	Rom. 9:22
V	50001009
c	m
i	c50001009.10
m	[2 Thess. 2:13]
V	50001010
c	n
i	c50001010.11
m	2 Cor. 5:15
V	50001012
c	o
i	c50001012.12
m	1 Cor. 16:18;
V	50001013
c	p
i	c50001013.13
m	Mark 9:50
V	50001014
c	q
i	c50001014.14
m	2 Thess. 3:6,
V	50001015
c	u
i	c50001015.15
m	Lev. 19:18
V	50001016
c	w
i	c50001016.16
m	[2 Cor. 6:10]
V	50001017
c	x
i	c50001017.17
m	Eph. 6:18
V	50001019
c	y
i	c50001019.18
m	Eph. 4:30
V	50001020
c	z
i	c50001020.19
m	Acts 13:1;
V	50001021
c	a
i	c50001021.20
m	1 Cor. 14:29; 1 John 4:1
V	50001021
c	b
i	c50001021.21
m	Phil. 4:8 3:13 e 1 Cor. 1:8, 9 7 set you apart
V	50001023
c	c
i	c50001023.22
m	Phil. 4:9 d 1 Thess.
V	50001024
c	f
i	c50001024.23
m	[1 Cor. 10:13];
