C	Chapter 18
V	19018002
c	a
i	c19018002.1
m	Prov. 16:2
V	19018002
c	b
i	c19018002.2
m	Prov. 24:12; Luke
V	19018003
c	c
i	c19018003.3
m	1 Sam. 15:22; Prov. 15:8; Is. 1:11, 16, 17; Hos. 6:6; [Mic. 6:7, 8]
V	19018004
c	d
i	c19018004.4
m	Prov. 6:17
V	19018006
c	f
i	c19018006.5
m	2 Pet. 2:3
V	19018009
c	g
i	c19018009.6
m	Prov. 19:13
V	19018010
c	h
i	c19018010.7
m	James 4:5
V	19018011
c	i
i	c19018011.8
m	Prov. 19:25
V	19018013
c	j
i	c19018013.9
m	[Matt. 7:2; 18:30-34]; James 2:13; 1 John 3:17
V	19018016
c	k
i	c19018016.10
m	Ps. 49:14
V	19018020
c	l
i	c19018020.11
m	Ps. 112:3; Prov. 8:21
V	19018021
c	m
i	c19018021.12
m	Prov. 15:9; Matt. 5:6; [Rom. 2:7]; 1 Cor. 15:58
V	19018022
c	n
i	c19018022.13
m	2 Sam. 5:6-9; Prov. 24:5; Eccl.
V	19018023
c	o
i	c19018023.14
m	Prov. 12:13; 13:3; 18:21; [James the righteous and the wicked (see chs. 1—9; Ps. 1). case in James 1).
V	19018025
c	p
i	c19018025.15
m	Prov. 13:4
V	19018026
c	q
i	c19018026.16
m	[Prov. 22:9; Eph. 4:28]
V	19018027
c	r
i	c19018027.17
m	Prov. 15:8; Is. 66:3; Jer. 6:20; Amos 5:22
V	19018030
c	s
i	c19018030.18
m	Is. 8:9, 10; [Jer. 9:23, 24]; Acts 5:39; 1 Cor.
V	19018031
c	t
i	c19018031.19
m	Ps. 3:8; Jer. 3:23; [1 Cor. 15:57]
