C	Chapter 1
V	49001001
c	a
i	c49001001.1
m	Rom. 6:5; Eph.
V	49001002
c	c
i	c49001002.2
m	[Matt. 6:19-21]
V	49001003
c	d
i	c49001003.3
m	[Rom. 6:2;
V	49001004
c	f
i	c49001004.4
m	[1 John 3:2]
V	49001005
c	i
i	c49001005.5
m	[Rom. 8:13]
V	49001006
c	m
i	c49001006.6
m	Rom. 1:18;
V	49001007
c	o
i	c49001007.7
m	1 Cor. 6:11;
V	49001008
c	p
i	c49001008.8
m	Eph. 4:22;
V	49001010
c	q
i	c49001010.9
m	Rom. 12:2; 2 Cor. 4:16 r [Rom. 8:29] s [Eph. 2:10]
V	49001011
c	t
i	c49001011.10
m	Rom. 10:12; [1 Cor. 12:13]; Gal. 3:27,
V	49001011
c	u
i	c49001011.11
m	Eph. 1:23
V	49001012
c	v
i	c49001012.12
m	[1 Pet. 1:2]
V	49001012
c	w
i	c49001012.13
m	Luke 1:78; Phil. 2:1; 1 John 3:17 11:25] 14 y 1 Pet. 4:8 z [1 Cor. 13] a Eph. 4:3 13 x [Mark
V	49001016
c	f
i	c49001016.14
m	Eph. 5:19
V	49001017
c	g
i	c49001017.15
m	1 Cor. 10:31
V	49001018
c	h
i	c49001018.16
m	1 Pet. 3:1
V	49001019
c	j
i	c49001019.17
m	[Eph. 5:25;
V	49001020
c	l
i	c49001020.18
m	Eph. 6:1
V	49001021
c	n
i	c49001021.19
m	Eph. 6:4
V	49001022
c	o
i	c49001022.20
m	Eph. 6:5;
V	49001023
c	p
i	c49001023.21
m	[Eccl. 9:10]
V	49001024
c	q
i	c49001024.22
m	Eph. 6:8
V	49001025
c	s
i	c49001025.23
m	Rom. 2:11
