C	Chapter 3
V	56003001
c	a
i	c56003001.1
m	Rom. 12:10
V	56003002
c	b
i	c56003002.2
m	Matt. 25:35;
V	56003003
c	d
i	c56003003.3
m	Matt. 25:36;
V	56003004
c	e
i	c56003004.4
m	Prov. 5:18,
V	56003005
c	g
i	c56003005.5
m	Gen. 28:15;
V	56003006
c	h
i	c56003006.6
m	Ps. 27:1; 118:6
V	56003008
c	i
i	c56003008.7
m	[John 8:58];
V	56003013
c	j
i	c56003013.8
m	1 Pet. 4:14
V	56003015
c	k
i	c56003015.9
m	Eph. 5:20
V	56003016
c	n
i	c56003016.10
m	Rom. 12:13
V	56003017
c	p
i	c56003017.11
m	Phil. 2:29 q Is.
V	56003018
c	r
i	c56003018.12
m	Eph. 6:19
V	56003020
c	t
i	c56003020.13
m	Rom. 5:1, 2,
V	56003021
c	x
i	c56003021.14
m	Phil. 2:13
