C	Chapter 11
V	38011002
c	a
i	c38011002.1
m	Mark 12:44
V	38011004
c	b
i	c38011004.2
m	Acts 11:29; 24:17; Rom. 15:25, 26; 1 Cor. 16:1, 3, 4; 2 Cor. 9:1 1 NU,
V	38011005
c	c
i	c38011005.3
m	[Rom. 12:1, 2] d [Eph. 6:6]
V	38011006
c	e
i	c38011006.4
m	2 Cor. 8:17;
V	38011007
c	f
i	c38011007.5
m	[1 Cor. 1:5; 12:13] g 2 Cor. 9:8
V	38011009
c	i
i	c38011009.6
m	Matt. 8:20; Luke 9:58; Phil. 2:6, 7 j Rom. 9:23; [Eph. 1:7; Rev.
V	38011010
c	k
i	c38011010.7
m	1 Cor. 7:25,
V	38011012
c	n
i	c38011012.8
m	Mark 12:43, 44; Luke 21:3, 4; 2 Cor. 9:7
V	38011014
c	u
i	c38011014.9
m	[John 13:16];
V	38011015
c	o
i	c38011015.10
m	Ex. 16:18
V	38011018
c	p
i	c38011018.11
m	1 Cor. 16:3; 2 Cor. 12:18
V	38011021
c	s
i	c38011021.12
m	Rom. 12:17; Phil. 4:8; 1 Pet.
V	38011023
c	t
i	c38011023.13
m	2 Cor. 7:13,
V	38011024
c	v
i	c38011024.14
m	2 Cor. 7:4, 14;
V	38011040
c	l
i	c38011040.15
m	[Prov. 19:17; Matt. 10:42; 1 Tim. 6:18, 19; Heb. 13:16] m 1 Cor. 16:2; 2 Cor. 9:2
