C	Chapter 5
V	48005001
c	a
i	c48005001.1
m	Eph. 1:1
V	48005002
c	b
i	c48005002.2
m	1 Cor. 4:17
V	48005003
c	d
i	c48005003.3
m	1 Cor. 1:4; Eph.
V	48005004
c	e
i	c48005004.4
m	Eph. 1:15
V	48005005
c	g
i	c48005005.5
m	[1 Pet. 1:4]
V	48005006
c	h
i	c48005006.6
m	Matt. 24:14
V	48005007
c	k
i	c48005007.7
m	Col. 4:12; Philem.
V	48005007
c	l
i	c48005007.8
m	1 Cor. 4:1, 2;
V	48005008
c	m
i	c48005008.9
m	Rom. 15:30
V	48005009
c	n
i	c48005009.10
m	Eph. 1:15-17
V	48005010
c	r
i	c48005010.11
m	Eph. 4:1; Phil.
V	48005011
c	v
i	c48005011.12
m	[Eph. 3:16;
V	48005015
c	d
i	c48005015.13
m	2 Cor. 4:4;
V	48005016
c	f
i	c48005016.14
m	John 1:3;
V	48005017
c	i
i	c48005017.15
m	[John 17:5]
V	48005018
c	k
i	c48005018.16
m	1 Cor. 11:3;
V	48005019
c	m
i	c48005019.17
m	John 1:16
V	48005020
c	n
i	c48005020.18
m	Rom. 5:1;
V	48005021
c	q
i	c48005021.19
m	[Eph. 2:1]
V	48005022
c	t
i	c48005022.20
m	2 Cor. 5:18;
V	48005023
c	v
i	c48005023.21
m	Eph. 3:17;
V	48005024
c	z
i	c48005024.22
m	2 Cor. 7:4
V	48005025
c	d
i	c48005025.23
m	Gal. 2:7
V	48005026
c	e
i	c48005026.24
m	[1 Cor. 2:7]
V	48005027
c	g
i	c48005027.25
m	2 Cor. 2:14
V	48005028
c	k
i	c48005028.26
m	Acts 20:20
V	48005029
c	m
i	c48005029.27
m	Eph. 3:7
