C	Chapter 19
V	18019001
c	a
i	c18019001.1
m	Job 4:1; 15:1;
V	18019006
c	c
i	c18019006.2
m	[Ex. 22:26, 27]; Deut. 24:6, 10, 17; Job 24:3, 9; Ezek.
V	18019007
c	d
i	c18019007.3
m	Deut. 15:7; Job 31:17; Is. 58:7; Ezek. 18:7; Matt.
V	18019011
c	e
i	c18019011.4
m	Job 38:34; Ps. 69:1, 2; 124:5; Lam. 3:54
V	18019013
c	f
i	c18019013.5
m	Ps. 73:11
V	18019014
c	g
i	c18019014.6
m	Ps. 139:11,
V	18019016
c	h
i	c18019016.7
m	Job 14:19; 15:32; Ps. 90:5; Is. 28:2; Matt.
V	18019017
c	i
i	c18019017.8
m	Job 21:14,
V	18019019
c	j
i	c18019019.9
m	Ps. 52:6; 58:10;
V	18019021
c	k
i	c18019021.10
m	[Ps. 34:10]; Is. 27:5
V	18019022
c	l
i	c18019022.11
m	Job 6:10; 23:12; Prov. 2:6 m [Ps. 119:11]
V	18019024
c	n
i	c18019024.12
m	2 Chr. 1:15
V	18019026
c	o
i	c18019026.13
m	Job 27:10; Ps. 37:4; Is. 58:14
V	18019027
c	p
i	c18019027.14
m	Job 11:13; 33:26; [Is. 58:9-11]
